<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"Commissioner and Secretary for Persons with","Government Department","Commissioner, Disabilities, Andaman &amp; Nicobar Administration, Goal Ghar","Port Blair","Andaman and Nicobar ",744101,03192-233356,"8900916004, 9729983483",directorsw4@gmail.com,http://andssw1.and.nic.in/socialwelfare,"Government body overseeing implementation of provisions under The Persons with Disabilities Act, 1995 at state level, and monitoring and grievance redressal.","40% disability certificate or higher required for social services",https://maps.app.goo.gl/t5daMXpkzokZNgbv6
"National Handicapped Finance and Development","vocational training","Andaman and Nicobar Island Integrated Development Corporation, Vikas Bhawan, PB No. 180","Port Blair","Andaman and Nicobar ",744101,03192-232098,3192236086,annidco@vsnl.com,https://aniidco.and.nic.in/,"Financial body provides services like community based rehabilitation services, consultancy for setting up vocational training programmes. Income generation activities, employment services such as placement cell, self employment, provision of machinery &amp; equipment and loans.",,https://maps.app.goo.gl/UWPxXN4mKMkzD66eA
"Arvinda Eye Bank","Eye Bank","29-12-46, Venkataratnam Street, Suryaraopeta, Governor Peta",Vijayawada,"Andhra Pradesh",520002,0879-0641919,9866433018,,https://book-appointment.healthplix.com/dr-g-v--narendra-eye-surgeon---retina-specialist-venkataratnam-st---vijayawada,"Eye bank and medical certifications.",,https://g.co/kgs/haQzc9m
"BADAM BALAKRISHNA EYE BANK, KAKINADA EYE FOUNDATION","Eye Bank","D.No. 70-10-4, NFCL Road, Nagamallithota Junction",Kakinada,"Andhra Pradesh",533003,"8846690567/ 2370600 / 2379184 / 2373060","9989799456 / 9490710666 / 9848160999",badambk@gmail.com,https://www.facebook.com/p/Badam-Balakrishna-Eye-Bank-BBEB-100069783645744/?locale=hi_IN,"Eye Bank, Eye donation collection, and cornea transplant",,https://g.co/kgs/y1sva3q
"BALAJI EYE CARE TRUST","Eye Bank","15-455, Surya Rd, Kamalanagar",Anantapur,"Andhra Pradesh",515001,08554-241703,9908240930,,,,,https://g.co/kgs/F219kvH
"CHIRANJEEVI EYE AND BLOOD BANK RESEARCH AND DEVELOPMENT CENTRE","Eye Bank","No.8-2-293, 82/A, Road No. 1, Jawahar Colony, Jubilee Hills",Hyderabad,"Andhra Pradesh",500033,04023555005,,chiranjeevieyefoundation@gmail.com,https://www.chiranjeevicharitabletrust.com/,"Eye donation collection",,https://g.co/kgs/Ef91dbC
"D.B.C.S. DISTRICT HOSPITAL","Eye Bank","Area Hoapital, (Y.S Men Club International), 4/53, RajuPet, Krishna District",Manchilipatnam,"Andhra Pradesh",521001,"8672223000 / 9290130236",,drrao52@yahoo.co.in,,,,
"DHANVANTHARI EYE DONATION CENTRE","Eye Bank","C/O. DR. MRGK CHOWDARY &amp; MOTHER THERESSA MEMORIAL SOCIETY VISION CARE &amp; SOCIAL SERVICE, 21-13-8/1, RICE COLONY, RAMALINGESWARAPETA",Tenali,"Andhra Pradesh",522201,"9848253515 / 9246780806",,p4basu@gmail.com,,,,https://g.co/kgs/oP5A9hZ
"District Rehabilitation Centre","Government Department","29-7-14, Vishnuvardhanarao Street, Suryaraopeth ",Vijayawada,"Andhra Pradesh",520002,0866-2439665,,,,"Facilitating services for persons with disabilities in rural areas .",,https://g.co/kgs/PLgf533
"DR SANKAR EYE BANK","Eye Bank","A - UNIT OF AAKARSHA FOUNDATION, 30-10-20, AYYANNA NAIDU ST, DURGA AGRAHARAM ",Vijayawada,"Andhra Pradesh",520002,9246499499,,simssankar@gmail.com,,"Eye donation collection and Cornea transplant",,https://g.co/kgs/MvswhDR
"DR. AKBAR EYE HOSPITAL","Eye Bank","12-3-234, 6TH LANE, SAINAGAR",Anantapur,"Andhra Pradesh",515001,8554235009,,akbareyeatp668@gmail.com,,,,https://g.co/kgs/i4safvN
"DR. Y.V. LAKSHMI DEVI EYE BANK","Eye Bank","SNEHA SEVA SAMITI, H.NO-6-9, ESWARA REDDY NAGAR, PRODDATUR",Kadapa,"Andhra Pradesh",516360,"9885339306 / 9963222769","863 --2222369",,,,,
"GOUTAMI EYE INSTITUTE","Eye Bank","R.V. NAGAR, NEAR RAMAKRISHNA MATT, OPP-MARKET YARD, RAJAHMUNDRY E.G.Dist.",Rajahmundry,"Andhra Pradesh",533105,"8832443442 / 2443449",,"narendraaravalli@gmail.com, info@goutami.org",https://goutami.org/,"Eye camps, cornea transplants",,https://g.co/kgs/c6uubKW
"GOVERNMENT REGIONAL EYE HOSPITAL","Eye Bank","Rama Talkies Road Visakhapatnam, Cemetery",Visakhapatnam,"Andhra Pradesh",530003,"891-2552544, 2575478",,,,,,https://g.co/kgs/9pdYMZY
"Government Residential School For Visually",School,"Beach Rd, Bhemili, Endada ",Visakhapatnam,"Andhra Pradesh",530045,0891-2798374,9000013636,grsvhvsp@gmail.com,,"Type of School: Secondary residential school for the girls from Class I to X - Admission Time: June to October - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as Braille, talking book &amp; print library, aids &amp; appliances, sports &amp; cultural activities, etc.",,
"Govt. Primary Residential School for the Visually",School,"P.V.G. Road, Phool Baugh ",Vizianagaram,"Andhra Pradesh",535002,0892-2251827,9000013641,grsvhvzm@gmail.com,,"Type of School: Upper Primary Co.Ed. Residential school from class I to VIII - Admission Time: June to August - Fee Structure: Free - Other Facilities in the School: Sports and cultural activities.",,
"Helen Keller Vocational Training Centre Cum School","Vocational Training","Near Appu Ghar, MVP Colony, Lakshmipuram Near Vepangunta",Visakhapatnam,"Andhra Pradesh",530017,0891-2539127,"9866065845, 098493 11680","HKMABvizag@gmail.com, hksd_kdp@rediffmail.com",,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: School is providing services such as library services, Braille library, talking book library &amp; print library, aids &amp; appliances, sports &amp; cultural activities, etc. Vocational Training DESCRIPTION - Apart from School, centre also provides services such as vocational training, career counselling, counselling for late blind persons, placement cell, self employment, loan for employment, etc.",,https://g.co/kgs/ebRWf5R
"INDIAN RED CROSS SOCIETY","Eye Bank","Eluru Branch ELURU-534 002 W.G.District",Eluru,"Andhra Pradesh",534002,9490826667,,"pratapcs9@yahoo.in / arunapratap@yahoo.com",,,,https://g.co/kgs/b1Cm845
"INDIAN RED CROSS SOCIETY EYE BANK","Eye Bank","IRCS &amp; INTAC BUILDING, BESIDE-I-TOWN P.S.POTTI SRIRAMULU JN., OLD BUS STAND",Srikakulam,"Andhra Pradesh",532001,9440436467,"9440436467, 9390612686, 9246635900 (08942)",,https://www.facebook.com/p/Indian-Red-Cross-Society-Srikakulam-Dist-Branch-100067970434662/?utm_source=chatgpt.com,,,
"JNANANANDA EYE BANK ASSOCIATION","Eye Bank","JANANANDA OPHTHALMIC INSTITUTE, MAYUR TOWN, RAILWAY STATION ROAD, POST-SIVARAOPET",BHIMAVARAM,"Andhra Pradesh",534202,"8816223321 / 222381","98481 44332",joinstitute@yahoo.co.in,http://jnananandaeyehospital.co.in/,,,https://maps.app.goo.gl/LdHYfkiECXtZRBUJ9
"LIONS CLUB OF KARIMNAGAR CHARITABLE","Eye Bank","Pushpanjali, Near Girls Junior. College Karimnagar.",Karimnagar,"Andhra Pradesh",505001,"8782282273 / 2242511",9849310172,lionscouncilindia@gmail.com,https://lionsindia.in/eye-care-for-the-needy-lion-club-of-karimnagar-bhaskar-madhekar-charitable-eye-hospital?utm_source=chatgpt.com,,,
"Mandala Viklangula Samkshema Sangam",School,"Anakapalle Road, Achutapuram Village &amp; Post",Visakhapatnam,"Andhra Pradesh",531011,0892-4253623,9989719158,"mvs_patnaik@yahoo.com, mvss.atp@gmail.com",https://mvssvizag.org/,"Type of School: Secondary Co.Ed. Residential school from Pre School/ Nursery to Class X - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as aids &amp; appliances, counselling, eye clinic, medical certification, sports &amp; cultural activities, etc.",,
"MODERN EYE HOSPITAL &amp; RESEARCH CENTRE","Eye Bank","C/O. DR. P.L. RAO (MANAGING PARTNER) 16/11/101, BESIDE VENKATA RAMANA HOTEL, Pogathota",Nellore,"Andhra Pradesh",524001,"8612324868 , 8612306015","9989004715, 7386892998",moderneyehospital@yahoo.com,https://www.moderneyehospital.org/,"Eye donation collection",,
"MODERN EYE HOSPITAL &amp; RESEARCH CENTRE","Eye Bank","# 50-760-A, C.P.R. Mansion B/H-Satya Narayana Swamy Temple, Gayathri Estate",Kurnool,"Andhra Pradesh",518002,8518235050,,mehkurnool@gmail.com,,,,
"MODERN EYE HOSPITAL &amp; RESEARCH CENTRE","Eye Bank","7/13/1, Lowyerpet, 5th Line, Beside-Sai Baba Temple Lane Opp-Dr. Bethuene Nursing Home, Prakasam",Ongole,"Andhra Pradesh",523002,8592220522,,mehongole@gmail.com,,,,
"MOHSIN EYE BANK","Eye Bank","C/O. L.V. PRASAD EYE INSTITUTE GMR VARALAKSHMI CAMPUS, D. NO. 11-113/1, HANUMANTHUWAKA JUNCTION VISAKHAPATNAM",Visakhapatnam,"Andhra Pradesh",530040,8912714000,"9246624000 / 9440821919",mohsineyebank@gmail.com,,,,
"National Federation For The Blind","Vocational Training","House No. 6/10 A, Jaya Nagar ","Kadapa ","Andhra Pradesh",516002,9866379428,,aabap_kadapa@gmail.com,,"Centre is providing services such as consultancy for barrier free building design, and website accessibility. Career counselling, short term training programmes, aid and appliance, cultural activities &amp; vocational training.",,
"Netra Vidyalaya, JET, Varija",School,"#13-239 Mangamaripeta Village, Chapaluppada Post, Bhimli Beach Road ","Bhimli ","Andhra Pradesh",531163,0892-2273642,9440540467,netravidyalayavarija@gmail.com,www.nethravidyalaya.org,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as Braille library, Braille press, aids &amp; appliances, vocational training, sports &amp; cultural activities, etc.",,
"O.E.U. LIONS EYE HOSPITAL","Eye Bank","Garividi,Vizianagaram , Sriramnagar VIZIANAGARAM",Garividi,"Andhra Pradesh",535001,"8952282471 / 8952281048 / 8952282072","9440434794 / 8179173808",thangarajsunil@gmail.com,,,,
"ONGOLE EYE BANK , ALURI EYE HOSPITAL","Eye Bank","Kurnool Road, Near R.T.C. Bus Stand Ongole Prakasam District",Ongole,"Andhra Pradesh",523002,"8592233767 / 8592231488",9440211566,alurieye@gmail.com,,"Eye bank and medical certifications.",,
"PARAMA HANSA YOGANANND NETRALAYA","Eye Bank","KADIYAM ROAD, VEMAGIRI-VILLAGE",Rajahmundry,"Andhra Pradesh",533125,8833203000,,,,,,
"PES INSTITUTE OF MEDICAL SCIENCES &amp; RESEARCH","Eye Bank","KUPPAM,NALAGAMPALLI KUPPAM-517425, CHITTOOR",Kuppam,"Andhra Pradesh",517425,"8570257260 / 8570257200",,,,,,
"RED CROSS EYE DONATION CENTRE","Eye Bank","IRCS &amp; INTAC BUILDING BESIDE-ONE TOWN POLICE STATION POTTI SRIRAMULU JUNCTION OLD BUS STAND, SRIKAKULAM",Srikakulam,"Andhra Pradesh",532001,8942226555,,,,,,
"ROTARY EYE BANK","Eye Bank","Rotary Community Service Trust Katuru Road, Vuyyuru Krishna District",Vuyyuru,"Andhra Pradesh",521165,"8676232280 / 234150",9440157392,rcstvyr@sancharnet.in,,,,
"S.V.R.R.G.GOVT. HOSPITAL","Eye Bank","Department Of Ophthalmology S.V. Medical College TIRUPATI",Tirupathi,"Andhra Pradesh",517508,8772286666,9885988822,jagannathchalla@gmail.com,,,,
"SANKAR EYE HOSPITAL","Eye Bank","A Unit Of S.K.K.K. Medical Trust Pedakakani Guntur",Pedakakani,"Andhra Pradesh",522509,"8632293903 / 2293904","8632293903 / 9951611806.",gnt.eyebank@sankaraeye.com,www.sankaraeye.com,,,
"SANKAR FOUNDATION EYE HOSPITAL","Eye Bank","D.No.19-50, Sri Sai Madhava Nagar Naiduthota, Vepagunta Visakhapatnam",Visakhapatnam,"Andhra Pradesh",530047,"891 2891144 / 2793219","0891-2891100 ,9949588529, 9949588528","admin@sfeye.org, sankarfoudnation@gmail.com"," https://sankarfoundation.org/#:~:text=Welcome%20to%20Sankar%20Foundation,the%20needy%20in%20the%20community.","Eye hospital and medical certifications including low vision centre &amp; consultancy services.",,
"SANTHI RAM MEDICAL COLLEGE","Eye Bank","Nandyal Kurnool District NH-18",Nandyal,"Andhra Pradesh",518501,"8514222480 / 8514222489",9963507117,srmcophthal@gmail.com,www.santhirammedicalcollege.org,,,
"SILOAM EYE HOSPITAL","Eye Bank","KADIRI ROAD MADANAPALLE CHITTOOR DISTRICT.",Madanapalle,"Andhra Pradesh",517325,"8571224205 / 230566",,,,,,
"Smt. Rajeshwari Ramakrishna Lions Eye Hospital","Eye Bank","2nd Street, Nidadavolu, Gandhinagar 2nd stage West Godavari Andhra Pradesh 534301 No 2 , Door 12-16-38 , Gandhinagar West","Godavari ","Andhra Pradesh",534301,08813-222000,9440318345,lionseyehospitalndd@yahoo.com,www.lionseyehospital.in,"Eye hospital and medical certifications.",,
"Society For Education of the Deaf and Blind",School,"2-2-20, SEDB, Perla Vari Street ",Vizianagaram,"Andhra Pradesh",535001,08922-221061,8374478824,yvishnu@gmail.com,,"Type School: Secondary Co.Ed. Residential school from Pre School to Class X - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as vocational training, sports &amp; cultural activities, etc.",,
"SREE LATHA MODERN EYE HOSPITAL &amp; RESEARCH CENTRE","Eye Bank","2-63/1, Officers Lane, Opp-Municipal Office Chittor",Chittor,"Andhra Pradesh",517001,"8572 233391 / 222121",,sreelathameh@yahoo.co.in,,,,
"SRI RAJAVALLI RADHA RAMAN LIONS EYE HOSPITAL","Eye Bank","RAJEEV NAGAR PALAKOL","Godavari ","Andhra Pradesh",534260,"88142228789 / 229193",,rrlions@rediffmail.com,,,,
"SRI SAI RUPA NETRALAYAM","Eye Bank","NEAR OLD STATE BANK OF INDIA REPALLE GUNTUR DISTRICT.",Repalle,"Andhra Pradesh","522 265",8648223747,,,,,,
"Sri Satya Sai Institute of Higher Medical Science","Eye Bank","Sri Satya Sai Institute of Higher Medical Science, Prasanthigram, Puttaparthi ",Anantapur,"Andhra Pradesh",515134,08555-287388,8555287544,publicrelationspg@sssihms.org.in,,"'- Eye bank and medical certifications.",,
"SRI YERRA BALARAMA MURTHY KONASEEMA EYE BANK","Eye Bank","1-149, CHIRU KALYAN SEVA SAMITI BHAVAN K-PEDAPUDI, AMBAJIPETA MANDAL",PEDAPUDI,"Andhra Pradesh",533239,8856220108,"9848242184 / 9030158338",,,,,
"SRI YERRA BALARAMA MURTHY KONASIMA EYE BANK","Eye Bank","1-147, K Pedapudi, Amalapuram","Konaseema District","Andhra Pradesh",533239,"098482 42184",9030158338,,,,,
"SUDARSANI EYE HOSPITAL","Eye Bank","Dr. Smita Sriman Memorial Eye Bank Sudarsani Eye Hospital Kothapet Main Road Guntur",Guntur,"Andhra Pradesh",522001,8632220028,,sudarsani@hotmail.com,,,,
"SWAPNA NURSING HOME","Eye Bank","Safe Eye Care Society 17/409, Tilak Nagar GUNTAKAL",Guntakal,"Andhra Pradesh",515801,"85522 23770","9440288107 / 9246900530",devarakondam273@gmail.com,,,,
"SWETCHA GORA EYE BANK","Eye Bank","Door No 40-9/1-16 Vasaya Mahila Mandali, Vasavya Nursing Home, Benz Circle, Gajuwaka, Opp Trendset Mall  ",Vijayawada,"Andhra Pradesh",520010,"8662472370 / 2470966",9848253030,vasavya@swetchagoraeyebank.org,www.swetchagoraeyebank.org,"'- Eye bank and medical certifications.",,
"TEJ KOHLI EYE BANK","Eye Bank","L.V. Prasad Eye Institute, Kode Venkatadri Chowdary Campus, Tadigadapa",Vijayawada,"Andhra Pradesh",521137,9849662229,9844179963,tkeb@lvpei.org,,,,
"The Institute For The Training, Relief, Rehabilitation",School,"Survey No. 374, Seriguda (Village), Ibrahimpatnam Mandal) ","Ranga Reddy District ","Andhra Pradesh",501510,08414-222485,8008200163,itrroddd.org@gmail.com,,"Type School: Elementary Co.Ed. Residential school - Admission Time: June to September - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, aids &amp; appliances, sports &amp; cultural activities, etc. Vocational Training DESCRIPTION - Apart from School, centre also provides counselling for late blind persons, career counselling, training for employment, self employment and Hostel/Residential services.",,
"Uma Educational and Technical Society",NGO,"4-54, Uma Manovikas Nagar, Vakalapudi Panchayat, Behind Rayudupalem, Kakinada Rural Mandal East ",Kakinada,"Andhra Pradesh",533005,0884-2306039,"9848164779, 9491220349","umamanovikasakendram@gmail.com, info@uetsindia.org",https://www.uetsindia.org/,"'- Community centre is providing services such as consultancy for barrier free building design, website accessibility. - Career counselling, counselling for late blind persons, self employment. - Eye clinics and medical certifications. - Braille appliances, aid &amp; appliances.",,https://maps.app.goo.gl/Rqf4XHMSFCdtSNWs7
"Visakha Eye Hospital","Eye Bank","D No-8-1-64, Pedawaltair, Junction ",Visakhapatnam,"Andhra Pradesh",530017,0891-2566383,,visakhaeye@hotmail.com,www.visakhaeye.com,"'- Eye hospital and medical certifications.",,
"VISION EYE DONATION CENTRE","Eye Bank","KANAPAKA, NEAR COLLECTOR''S OFFICE ",VIZIANAGARAM,"Andhra Pradesh",535003,9441873677,,visionedcvzm2015@gmail.com,,,,
"YV LAXMIDEVI EYE BANK","Eye Bank","H.NO-6-9, ESWARA REDDY NAGAR, PRODDATURU ",KADAPA,"Andhra Pradesh",516360,24730408564,9885339306,,,,,
"Zion School For The Blind",School,"CTRI junction, Rajahmundry East ","Godavri ","Andhra Pradesh",533103,08019-777664,9985672920,zionblindschool@gmail.com,,"Type School: Secondary Co.Ed. Residential school Pre School/Nursery to Class X - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille library, Braille appliances, sports, cultural activities, career counselling, hostel/residential services and vocational training.",,
"National Handicapped Finance and Development","Vocational Training","The Arunachal Pradesh State Co-Operative Apex Bank Limited, P.O. &amp; T. Naharlagun, ‘D’ Sector Dist. Subansiri ","Naharlagun ","Arunachal Pradesh",791110,0360-2244129,,apidfc@gw1dot.net.in,www.nhfdc.org,"'- Financial body offering community based rehabilitation services. - Support for setting up vocational training programs and income generation activities. - Placement cell, self employment, provision of machinery &amp; equipment loans, etc.",,
"Secretary &amp; Commissioner (Disabilities) Social","Government Department","Disabilities, Govt. of Arunachal Pradesh, Arunachal Pradesh Secretariat Building  ","Itanagar ","Arunachal Pradesh",791111,0360-2212391,,,,"Implementation of provisions under The Persons with Disabilities Act 1995 at state level, monitoring and grievance redressal.",,
"Assam Andh Shishu Vidyalaya",School,"Ward No. 4, Post Office Bihpuria, near Police Station, Bihpuria ",Lakhimpur,Assam,784161,8638288817,,,,"Type School: Elementary Co.Ed. Residential school - Admission Time: January - Fee Structure: Free - Other Facilities in the School: Sports &amp; cultural activities, etc.",,
"Assam Finance Corporation","Vocational Training","Vittiya Bhawan, Md. Shah Road. Paltan Bazar",Guwahati,Assam,781008,0361-2739839,,afcmicro@gmail.com,,"'- Financial body is providing support for conducting vocational training programs and income generation activities. - Placement cell, self employment, provision of machinery &amp; equipment, self help for employment and loans.",,
"ASSAM MEDICAL COLLEGE &amp; HOSPITAL, (AMCH)","Eye Bank",,Dibrugarh,Assam,786002,9435030024,,bharotipuzari@gmail.com,,,,
"Department of Social Welfare","Government Department","Paki Ghat, M.G Road, Uzanbazar",Guwahati,Assam,781001,0361-2541169,9954533789,ssmeensun@gmail.com,socialwelfareassam.com,"'- Support to blind schools and training centers through grants-in-aid.",,
"DRISHTI EYE BANK","Eye Bank","Drishti Nethralaya, Amolapatty Rly Gate",Dibrugarh,Assam,786001,9435031481,,,https://www.drishtinetralaya.in/,,,
"Faith Foundation",,,Guwahati,Assam,,9435485744,,,,"Education for blind girls",,
